Table S1. Detailed library-level information for samples passing through screening process.;;;;;;;;;;;;;;;;;;;;;;;;;
Library ID;Lab Indiv. ID;Skeletal codes;UDG;Skeletal element;Date (BCE/CE);Culture;Location;Country;Extraction protocol (see key below);Library preparation (see key below);Equivalent mg bone powder used for library preparation ;Shotgun raw sequences;Shotgun fraction raw sequences mapping to hg19;mtDNA sequences in alignment;mtDNA sequences aligning to target;Aligned mtDNA sequences remaining after deduping;mtDNA coverage;mtDNA median read length;mtDNA fraction damaged in last base;mtDNA haplogroup;mtDNA match fraction;mtDNA match fraction   95% CI;Perform 1240k capture?;1240k captured in pool? (number of libraries in pool);Used in analyses?
S10973.Y1.E1.L1;I10973;VN31, 05.MB.M2;partial;petrous;1900-1600 BCE;Vietnam_Neolithic;Man Bac;Vietnam;*;3;7,3;..;..;..;..;..;..;..;0,252;..;..;..;Yes;No;Yes
S1135.E1.L1;I1135;VN37, 0.7.MB.H1.M09;partial;petrous;1876-1688 calBCE (3445±20, PSUAMS-2409);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];2;27,0;82506;0,0064;1687279;2920;999;2,04;34;0,343;H2a;0,968;[0.903,0.988];Yes;No;Yes
S1135.E1.L3;I1135;VN37, 0.7.MB.H1.M09;partial;petrous;1876-1688 calBCE (3445±20, PSUAMS-2409);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;9,0;584422;0,0136;950496;2843;1245;2,45;32;0,408;R0;0,871;[0.780,0.928];Yes;Yes (2);Yes
S1135.E1.L4;I1135;VN37, 0.7.MB.H1.M09;partial;petrous;1876-1688 calBCE (3445±20, PSUAMS-2409);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;27,0;498014;0,0147;1189322;8722;2939;5,71;31;0,349;R;0,803;[0.744,0.849];Yes;No;Yes
S7243.E1.L1;I1135;VN37, 0.7.MB.H1.M09;partial;petrous;1876-1688 calBCE (3445±20, PSUAMS-2409);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;8,1;423095;0,0093;966503;3499;868;1,75;33;0,3;..;..;..;Yes;No;Yes
S1135.E1.L2;I1135;VN37, 0.7.MB.H1.M09;partial;petrous;1876-1688 calBCE (3445±20, PSUAMS-2409);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;2,7;544298;0,0117;1125104;3235;438;0,874;31;0,302;..;..;..;Yes;Yes (2);No
S1135.E2.L1;I1135;VN37, 0.7.MB.H1.M09;partial;petrous;1876-1688 calBCE (3445±20, PSUAMS-2409);Vietnam_Neolithic;Man Bac;Vietnam;*;3;6,5;177886;0,0014;485732;300;92;0,207;37;0,253;..;..;..;No;;No
S1135.E2.L2;I1135;VN37, 0.7.MB.H1.M09;partial;petrous;1876-1688 calBCE (3445±20, PSUAMS-2409);Vietnam_Neolithic;Man Bac;Vietnam;*;3;19,5;405388;0,0022;904015;691;236;0,537;36;0,278;..;..;..;No;;No
S1135.E3.L1;I1135;VN37, 0.7.MB.H1.M09;partial;petrous;1876-1688 calBCE (3445±20, PSUAMS-2409);Vietnam_Neolithic;Man Bac;Vietnam;*;3;6,3;119921;0,0009;391845;239;69;0,153;36;0,083;..;..;..;No;;No
S1135.E3.L2;I1135;VN37, 0.7.MB.H1.M09;partial;petrous;1876-1688 calBCE (3445±20, PSUAMS-2409);Vietnam_Neolithic;Man Bac;Vietnam;*;3;18,8;432693;0,0021;801140;532;180;0,388;35;0,272;..;..;..;No;;No
S1137.E1.L1;I1137;VN39, VN46, 0.7.MB.H2.M16;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];2;26,3;74904;0,009;494048;975;687;1,48;35;0,289;..;..;..;Yes;No;Yes
S1137.E2.L2;I1137;VN39, VN46, 0.7.MB.H2.M16;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;*;3;24,8;442209;0,0028;842300;854;248;0,528;35;0,362;..;..;..;Yes;No;Yes
S2730.E1.L2;I1137;VN39;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;8,4;1265990;0,0109;1497602;20668;4919;9,83;33;0,346;M7b1a1;0,912;[0.889,0.932];Yes;Yes (4);Yes
S2730.E1.L3;I1137;VN39;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;8,4;1229293;0,01;1173847;18851;4574;9,18;33;0,339;M7b1a1;0,91;[0.881,0.931];Yes;Yes (4);Yes
